Euler1,Euler2,Euler3,n28,n28_noise,n32,n32_noise
0,49,98,0.001,1.899,0.005,12.015
0,49,105,0.001,7.639,0.001,7.995
0,49,112,0.018,8.737,0.003,1.237
0,49,119,0.003,1.859,0.004,5.296
0,49,126,0.02,0.636,0.01,1.891
0,49,133,0.008,1.183,0.005,0.226
0,49,140,0.017,1.425,0.007,1.761
0,49,147,0.019,3.72,0.002,9.807
0,49,154,0.001,4.016,0.001,6.477
0,49,161,0.001,5.082,0.001,0.751
0,49,168,0.032,9.756,0.0,6.554
0,49,175,0.025,3.675,0.001,4.252
0,56,0,0.034,0.764,0.001,6.093
0,56,7,0.002,0.899,0.002,10.141
0,56,14,0.041,2.057,0.02,8.417
0,56,21,0.001,4.358,0.026,7.82
0,56,28,0.001,7.624,0.008,6.126
0,56,35,0.001,7.437,0.017,0.666
0,56,42,0.001,2.088,0.001,0.896
0,56,49,0.01,10.202,0.001,10.146
0,56,56,0.001,1.658,0.002,2.791
0,56,63,0.004,8.088,0.01,7.34
0,56,70,0.001,2.216,0.001,0.512
0,56,77,0.056,5.315,0.039,1.662
0,56,84,0.001,8.643,0.012,5.987
0,56,91,0.018,7.077,0.001,0.46
0,56,98,0.001,1.696,0.014,1.264
0,56,105,0.001,5.813,0.005,4.966
0,56,112,0.008,6.119,0.012,4.031
0,56,119,0.001,6.642,0.005,8.906
0,56,126,0.009,2.304,0.021,4.781
0,56,133,0.022,10.143,0.002,2.567
0,56,140,0.008,6.363,0.001,1.875
0,56,147,0.003,7.068,0.02,8.568
0,56,154,0.006,1.961,0.007,0.679
0,56,161,0.001,3.951,0.0,8.952
0,56,168,0.017,6.516,0.001,1.376
0,56,175,0.023,4.263,0.001,3.545
0,63,0,0.044,1.651,0.036,5.375
0,63,7,0.014,2.179,0.002,0.63
0,63,14,0.169,0.561,0.029,7.846
0,63,21,0.001,6.522,0.035,7.763
0,63,28,0.002,3.372,0.001,7.069
0,63,35,0.001,0.804,0.001,0.941
0,63,42,0.001,5.54,0.006,2.875
0,63,49,0.001,7.251,0.001,3.93
0,63,56,0.036,1.338,0.001,5.277
0,63,63,0.133,8.049,0.001,5.993
0,63,70,0.058,1.928,0.001,7.423
0,63,77,0.001,4.949,0.005,3.495
0,63,84,0.001,0.635,0.003,3.945
0,63,91,0.001,5.231,0.001,5.069
0,63,98,0.002,1.936,0.002,4.526
0,63,105,0.071,1.934,0.001,7.191
0,63,112,0.025,9.363,0.001,0.572
0,63,119,0.001,1.19,0.026,10.068
0,63,126,0.001,7.299,0.002,4.939
0,63,133,0.001,8.113,0.004,5.947
0,63,140,0.001,5.689,0.001,9.354
0,63,147,0.001,9.524,0.004,4.83
0,63,154,0.016,7.395,0.001,9.457
0,63,161,0.032,5.018,0.001,12.263
0,63,168,0.054,2.924,0.002,6.087
0,63,175,0.001,1.467,0.001,7.4
0,70,0,0.001,1.221,0.182,11.421
0,70,7,0.204,3.231,0.001,9.497
0,70,14,0.208,2.534,0.119,2.83
0,70,21,0.175,1.388,0.19,3.624
0,70,28,0.009,8.835,0.16,2.61
0,70,35,0.186,4.073,0.141,4.818
0,70,42,0.001,2.21,0.153,0.395
0,70,49,0.17,7.589,0.159,10.023
0,70,56,0.179,5.894,0.122,2.423
0,70,63,0.105,7.146,0.179,1.21
0,70,70,0.172,15.444,0.201,1.37
0,70,77,0.126,2.819,0.15,8.594
0,70,84,0.173,12.413,0.149,3.069
0,70,91,0.161,1.916,0.195,6.639
0,70,98,0.172,8.015,0.155,8.926
0,70,105,0.229,9.687,0.159,6.21
0,70,112,0.16,9.317,0.185,1.166
0,70,119,0.001,12.386,0.153,5.58
0,70,126,0.183,5.191,0.001,5.63
0,70,133,0.169,1.544,0.187,8.514
0,70,140,0.001,1.417,0.132,1.796
0,70,147,0.154,10.749,0.122,6.918
0,70,154,0.151,0.508,0.209,4.501
0,70,161,0.136,10.081,0.17,6.677
0,70,168,0.001,7.995,0.15,5.782
0,70,175,0.001,6.942,0.18,1.863
0,77,0,0.232,11.286,0.281,1.914
0,77,7,0.234,8.786,0.248,5.127
0,77,14,0.28,9.939,0.247,5.541
0,77,21,0.292,5.39,0.234,3.751
0,77,28,0.255,3.929,0.261,1.96
0,77,35,0.251,5.041,0.276,3.316
0,77,42,0.214,1.201,0.236,4.299
0,77,49,0.247,6.021,0.256,3.145
0,77,56,0.276,5.13,0.238,3.373
0,77,63,0.275,2.006,0.279,5.35
0,77,70,0.286,2.812,0.209,6.171
0,77,77,0.266,6.441,0.286,6.973
