Euler1,Euler2,Euler3,default20,diffEvol,Anne
0,84,56,0.331,0.296,0.292
0,84,63,0.313,0.323,0.459
0,84,70,0.324,0.29,0.366
0,84,77,0.342,0.338,0.011
0,84,84,0.295,0.334,0.212
0,84,91,0.239,0.281,0.286
0,84,98,0.372,0.336,0.341
0,84,105,0.34,0.301,0.003
0,84,112,0.298,0.25,0.129
0,84,119,0.299,0.224,0.266
0,84,126,0.361,0.322,0.29
0,84,133,0.348,0.275,0.466
0,84,140,0.315,0.318,0.465
0,84,147,0.339,0.312,0.36
0,84,154,0.389,0.328,0.28
0,84,161,0.323,0.335,0.319
0,84,168,0.425,0.326,0.299
0,84,175,0.336,0.317,0.324
7,0,0,0.189,0.207,0.425
7,0,7,0.0,0.207,0.143
7,0,14,0.274,0.207,0.124
7,0,21,0.0,0.207,0.057
7,0,28,0.0,0.21,0.176
7,0,35,0.0,0.17,0.075
7,0,42,0.232,0.099,0.33
7,0,49,0.0,0.134,0.134
7,0,56,0.0,0.207,0.516
7,0,63,0.421,0.207,0.181
7,0,70,0.263,0.207,0.296
7,0,77,0.223,0.207,0.272
7,0,84,0.0,0.207,0.107
7,0,91,0.269,0.207,0.382
7,0,98,0.24,0.207,0.144
7,0,105,0.284,0.207,0.321
7,0,112,0.0,0.207,0.266
7,0,119,0.0,0.207,0.129
7,0,126,0.227,0.207,0.246
7,0,133,0.0,0.207,0.152
7,0,140,0.0,0.207,0.165
7,0,147,0.0,0.207,0.066
7,0,154,0.0,0.207,0.277
7,0,161,0.0,0.207,0.262
7,0,168,0.126,0.207,0.322
7,0,175,0.0,0.207,0.35
7,7,0,0.006,0.005,1.497
7,7,7,0.263,0.89,3.699
7,7,14,0.84,1.869,1.858
7,7,21,0.004,0.004,1.999
7,7,28,0.008,0.007,0.714
7,7,35,0.01,0.003,0.804
7,7,42,0.005,0.003,6.984
7,7,49,0.846,0.005,7.0
7,7,56,0.531,0.007,7.0
7,7,63,0.11,6.946,6.519
7,7,70,0.441,0.002,1.139
7,7,77,0.057,0.007,6.999
7,7,84,0.043,0.004,0.843
7,7,91,0.101,0.006,1.707
7,7,98,0.154,0.005,6.989
7,7,105,0.006,0.007,2.083
7,7,112,0.015,0.006,1.163
7,7,119,0.005,0.005,0.686
7,7,126,0.048,0.007,0.038
7,7,133,0.082,0.002,3.136
7,7,140,0.006,0.006,0.078
7,7,147,0.005,0.004,0.668
7,7,154,0.008,0.005,0.948
7,7,161,0.047,0.005,7.0
7,7,168,0.036,0.055,7.0
7,7,175,0.004,0.007,2.787
7,14,0,0.001,0.002,0.087
7,14,7,0.626,0.003,1.274
7,14,14,0.013,3.734,4.293
7,14,21,0.054,0.049,0.072
7,14,28,0.01,0.001,14.0
7,14,35,0.001,0.002,14.002
7,14,42,0.003,13.963,0.867
7,14,49,0.003,0.003,0.332
7,14,56,0.003,0.002,0.001
7,14,63,0.001,0.003,0.03
7,14,70,0.047,0.048,0.131
7,14,77,0.002,0.002,0.005
7,14,84,0.006,0.003,0.179
7,14,91,0.001,0.002,0.003
7,14,98,0.002,0.001,14.001
7,14,105,0.005,0.002,0.004
7,14,112,0.007,0.008,0.014
7,14,119,0.001,0.002,13.565
7,14,126,0.004,0.003,0.008
7,14,133,0.004,0.003,0.011
7,14,140,0.003,0.003,0.012
7,14,147,0.002,0.002,0.002
7,14,154,0.004,0.001,0.041
7,14,161,0.015,0.001,0.033
7,14,168,0.003,0.002,0.701
7,14,175,0.004,0.003,0.56
7,21,0,0.001,0.0,0.734
7,21,7,0.001,2.669,0.653
7,21,14,0.001,0.001,0.772
7,21,21,0.033,0.026,0.02
7,21,28,0.004,0.001,0.025
7,21,35,0.003,0.002,2.529
7,21,42,0.073,0.02,0.039
7,21,49,0.005,0.009,0.014
7,21,56,0.001,0.0,1.615
7,21,63,0.002,0.001,0.002
7,21,70,0.032,0.032,2.228
7,21,77,0.001,0.001,1.211
7,21,84,0.063,0.051,1.136
7,21,91,0.039,0.021,0.023
7,21,98,0.045,0.042,21.003
7,21,105,0.001,0.001,0.909
7,21,112,0.021,0.03,0.03
7,21,119,0.003,0.001,0.001
7,21,126,0.001,0.001,0.001
7,21,133,0.001,0.001,0.001
7,21,140,0.044,0.044,0.046
7,21,147,0.032,0.028,0.007
7,21,154,0.004,0.002,0.003
7,21,161,0.034,0.035,0.024
7,21,168,0.004,0.004,21.003
7,21,175,0.021,0.019,0.002
7,28,0,0.001,0.001,0.001
7,28,7,0.009,0.001,0.26
7,28,14,0.049,0.047,0.044
7,28,21,0.003,0.001,0.004
7,28,28,0.032,0.031,0.039
7,28,35,0.0,0.0,0.031
7,28,42,0.001,0.001,0.031
7,28,49,0.001,0.001,0.011
7,28,56,0.027,0.029,0.031
7,28,63,0.001,0.001,0.003
7,28,70,0.029,0.032,0.031
7,28,77,0.004,0.004,1.552
7,28,84,0.001,0.001,0.033
7,28,91,0.03,0.034,0.049
7,28,98,0.024,0.028,0.363
7,28,105,0.042,0.045,0.038
7,28,112,0.026,0.031,2.864
7,28,119,0.026,0.031,0.039
7,28,126,0.003,27.862,0.027
7,28,133,0.019,0.02,0.316
7,28,140,0.012,0.0,0.022
7,28,147,0.005,0.001,0.003
7,28,154,0.02,0.028,0.034
7,28,161,0.007,0.008,0.019
7,28,168,0.004,0.006,0.008
7,28,175,0.008,0.0,0.012
7,35,0,0.001,0.014,0.0
7,35,7,0.025,0.027,0.019
7,35,14,0.016,0.017,0.025
7,35,21,0.022,0.029,0.03
7,35,28,0.006,0.005,0.006
7,35,35,0.001,0.002,3.335
7,35,42,0.01,0.011,0.013
7,35,49,0.007,0.005,0.022
7,35,56,0.018,0.021,0.253
7,35,63,0.002,0.001,0.002
7,35,70,0.017,0.019,0.019
7,35,77,0.013,0.016,0.002
7,35,84,0.0,0.001,0.005
7,35,91,0.022,0.021,0.025
7,35,98,0.015,0.014,0.015
7,35,105,0.013,0.014,0.016
7,35,112,0.014,0.015,0.008
7,35,119,0.004,0.004,0.006
7,35,126,0.014,0.013,0.011
7,35,133,0.02,0.02,0.022
7,35,140,0.012,0.015,1.206
7,35,147,0.001,0.001,0.001
7,35,154,0.006,0.007,0.012
7,35,161,0.011,0.012,0.013
7,35,168,0.002,0.001,0.002
7,35,175,0.007,0.006,0.006
7,42,0,0.009,0.001,0.001
7,42,7,0.012,0.031,0.027
7,42,14,0.003,0.005,0.003
7,42,21,0.015,0.016,0.01
7,42,28,0.006,0.012,0.006
7,42,35,0.016,0.019,0.012
7,42,42,0.01,0.009,0.011
7,42,49,0.025,0.027,0.023
7,42,56,0.004,0.006,0.023
7,42,63,0.009,0.006,0.006
7,42,70,0.018,0.019,0.021
7,42,77,0.0,0.001,0.019
7,42,84,0.01,0.01,0.086
7,42,91,0.011,0.008,0.011
7,42,98,0.002,0.001,0.024
7,42,105,0.011,0.008,0.011
7,42,112,0.014,0.014,0.017
7,42,119,0.009,0.008,0.006
7,42,126,0.011,0.013,0.016
7,42,133,0.014,0.014,0.007
7,42,140,0.014,0.018,0.02
7,42,147,0.01,0.01,0.01
7,42,154,0.012,0.015,0.033
7,42,161,0.008,0.006,0.018
7,42,168,0.014,0.013,0.014
7,42,175,0.0,0.0,0.011
7,49,0,0.005,0.0,0.0
7,49,7,0.002,0.007,0.005
7,49,14,0.005,0.003,0.007
7,49,21,0.013,0.01,0.008
7,49,28,0.006,0.005,0.007
7,49,35,0.01,0.009,0.009
7,49,42,0.011,0.009,0.005
7,49,49,0.006,0.006,0.007
7,49,56,0.011,0.011,0.004
7,49,63,0.005,0.004,0.003
7,49,70,0.012,0.016,0.01
7,49,77,0.002,0.002,0.004
7,49,84,0.005,0.004,0.004
7,49,91,0.013,0.013,0.019
7,49,98,0.002,0.003,0.005
7,49,105,0.002,0.001,0.002
7,49,112,0.015,0.014,0.014
7,49,119,0.006,0.013,0.014
7,49,126,0.009,0.004,0.002
7,49,133,0.012,0.01,0.009
7,49,140,0.016,0.019,0.013
7,49,147,0.014,0.015,0.017
7,49,154,0.007,0.007,0.004
7,49,161,0.01,0.011,0.006
7,49,168,0.014,0.014,0.011
7,49,175,0.005,0.002,0.004
7,56,0,0.008,0.007,0.01
7,56,7,0.002,0.002,0.003
7,56,14,0.002,0.003,0.002
7,56,21,0.001,0.001,0.007
7,56,28,0.008,0.007,0.008
7,56,35,0.005,0.004,0.008
7,56,42,0.009,0.009,0.006
7,56,49,0.009,0.01,0.011
7,56,56,0.003,0.002,0.004
7,56,63,0.003,0.003,0.005
7,56,70,0.01,0.011,0.003
7,56,77,0.008,0.008,0.008
7,56,84,0.001,0.0,0.008
7,56,91,0.007,0.007,0.007
7,56,98,0.007,0.004,0.002
7,56,105,0.001,0.001,0.001
7,56,112,0.008,0.008,0.009
7,56,119,0.009,0.009,0.005
7,56,126,0.004,0.005,0.006
7,56,133,0.006,0.006,0.004
7,56,140,0.007,0.007,0.006
