Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,28,91,0.048,7.692,0.049,7.954,0.0,6.338,0.0,1.623
0,28,98,0.045,1.274,0.027,6.774,0.001,4.155,0.001,8.538
0,28,105,0.02,8.029,0.048,6.501,0.029,6.704,0.028,8.526
0,28,112,0.07,2.296,0.008,8.998,0.0,1.304,0.001,0.962
0,28,119,0.003,0.892,0.002,1.062,0.001,5.16,0.033,4.751
0,28,126,0.001,3.625,0.002,1.88,0.065,1.033,0.009,7.686
0,28,133,0.001,11.396,0.087,1.354,0.001,0.401,0.001,6.83
0,28,140,0.087,4.218,0.001,7.216,0.072,7.979,0.015,5.383
0,28,147,0.127,6.354,0.074,2.229,0.044,0.668,0.001,4.647
0,28,154,0.008,6.912,0.001,0.549,0.029,3.905,0.001,3.551
0,28,161,0.089,1.158,0.0,7.718,0.067,11.783,0.062,1.315
0,28,168,0.001,8.016,0.023,2.41,0.012,6.035,0.048,5.697
0,28,175,0.067,6.217,0.018,0.357,0.029,1.091,0.0,1.395
0,35,0,0.077,5.928,0.001,1.218,0.017,1.621,0.044,0.643
0,35,7,0.072,8.567,0.001,3.283,0.017,0.594,0.08,5.869
0,35,14,0.176,4.443,0.003,7.316,0.0,10.324,0.04,7.853
0,35,21,0.003,2.293,0.025,6.81,0.065,1.21,0.0,1.382
0,35,28,0.108,1.099,0.023,7.997,0.001,0.585,0.005,6.546
0,35,35,0.069,0.993,0.088,1.914,0.057,9.235,0.063,4.865
0,35,42,0.001,6.88,0.001,7.9,0.001,1.234,0.039,8.548
0,35,49,0.022,3.561,0.046,4.455,0.029,1.823,0.03,1.221
0,35,56,0.002,1.514,0.034,0.994,0.082,1.179,0.046,0.331
0,35,63,0.051,0.632,0.001,3.486,0.015,0.445,0.041,0.552
0,35,70,0.0,1.79,0.035,0.522,0.042,1.14,0.027,4.932
0,35,77,0.151,8.334,0.061,3.164,0.051,0.444,0.001,4.311
0,35,84,0.052,6.249,0.028,6.396,0.001,2.666,0.014,3.699
0,35,91,0.018,2.96,0.058,0.266,0.001,4.759,0.003,1.649
