Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,63,0,0.003,1.631,0.002,7.766,0.002,8.58,0.047,1.527
0,63,7,0.015,9.443,0.151,10.05,0.122,4.978,0.039,4.156
0,63,14,0.002,2.916,0.001,3.636,0.142,4.855,0.074,5.506
0,63,21,0.002,1.072,0.27,10.39,0.001,2.673,0.002,8.072
0,63,28,0.002,2.342,0.002,6.615,0.067,5.398,0.001,7.544
0,63,35,0.179,10.275,0.0,3.337,0.005,1.252,0.099,1.042
0,63,42,0.002,1.093,0.185,1.301,0.005,5.235,0.001,3.736
0,63,49,0.002,1.568,0.002,1.559,0.002,4.895,0.033,4.642
0,63,56,0.001,6.239,0.196,2.723,0.159,2.641,0.001,4.147
0,63,63,0.085,7.538,0.211,8.461,0.121,3.306,0.087,4.622
0,63,70,0.15,11.946,0.001,9.147,0.001,6.181,0.012,4.713
0,63,77,0.279,5.815,0.211,10.584,0.001,0.992,0.001,1.309
0,63,84,0.001,2.578,0.093,3.719,0.002,4.489,0.001,0.3
0,63,91,0.001,7.539,0.001,1.394,0.051,0.62,0.064,5.952
0,63,98,0.034,2.816,0.002,5.485,0.001,1.681,0.001,4.127
0,63,105,0.002,10.57,0.002,3.918,0.001,2.875,0.096,6.605
0,63,112,0.002,4.53,0.136,7.971,0.019,9.139,0.001,6.238
0,63,119,0.002,2.528,0.062,5.054,0.115,12.732,0.001,6.734
0,63,126,0.003,5.536,0.001,7.175,0.018,8.263,0.001,3.618
0,63,133,0.005,7.955,0.166,4.353,0.001,3.649,0.001,2.429
0,63,140,0.012,8.838,0.001,2.266,0.002,7.874,0.125,3.339
0,63,147,0.174,4.11,0.236,0.672,0.001,7.453,0.007,6.825
0,63,154,0.187,3.65,0.0,8.055,0.002,5.558,0.001,7.012
0,63,161,0.176,3.276,0.001,2.512,0.001,6.629,0.001,4.368
0,63,168,0.001,10.547,0.03,9.751,0.161,2.987,0.095,1.689
0,63,175,0.001,11.16,0.183,9.882,0.192,2.505,0.001,5.719
0,70,0,0.0,1.87,0.073,6.073,0.001,7.868,0.001,4.168
