Euler1,Euler2,Euler3,4samples,8samples,16samples,24samples
0,70,126,12.53,0.001,0.001,0.083
0,70,133,8.888,0.574,0.001,0.178
0,70,140,0.019,0.234,0.028,0.189
0,70,147,5.155,0.247,0.001,0.172
0,70,154,0.024,0.233,0.163,0.196
0,70,161,4.198,0.001,0.287,0.176
0,70,168,0.222,0.056,0.001,0.118
0,70,175,0.902,0.442,0.0,0.001
0,77,0,0.854,0.002,0.05,0.242
0,77,7,0.041,0.384,0.323,0.274
0,77,14,3.132,0.186,0.306,0.289
0,77,21,7.792,0.433,0.202,0.244
0,77,28,1.292,0.005,0.259,0.211
0,77,35,2.577,0.004,0.001,0.275
0,77,42,4.058,0.003,0.248,0.265
0,77,49,5.039,0.003,0.252,0.222
0,77,56,7.806,0.006,0.268,0.289
0,77,63,0.507,0.228,0.292,0.267
0,77,70,1.209,0.001,0.241,0.266
0,77,77,4.396,0.003,0.074,0.145
0,77,84,0.022,0.01,0.223,0.263
0,77,91,0.354,0.006,0.259,0.263
0,77,98,0.05,0.103,0.001,0.262
0,77,105,2.597,0.01,0.293,0.248
0,77,112,15.412,0.002,0.231,0.278
0,77,119,2.903,0.036,0.053,0.276
0,77,126,0.007,0.007,0.295,0.247
0,77,133,0.009,0.0,0.265,0.259
0,77,140,0.002,0.003,0.265,0.284
0,77,147,7.093,0.312,0.345,0.267
0,77,154,0.007,0.288,0.292,0.263
0,77,161,0.849,0.001,0.127,0.253
0,77,168,4.603,0.01,0.357,0.265
0,77,175,6.508,0.015,0.281,0.239
0,84,0,0.027,0.031,0.026,0.334
0,84,7,7.379,0.55,0.321,0.339
0,84,14,0.05,0.004,0.003,0.29
0,84,21,0.103,0.281,0.118,0.328
0,84,28,5.581,0.052,0.294,0.292
0,84,35,0.788,0.027,0.288,0.324
0,84,42,7.11,0.021,0.291,0.317
0,84,49,0.111,0.005,0.299,0.313
0,84,56,3.011,0.001,0.289,0.298
0,84,63,3.424,0.012,0.329,0.32
0,84,70,0.011,0.192,0.32,0.33
0,84,77,0.091,0.009,0.36,0.299
0,84,84,0.375,0.393,0.33,0.31
0,84,91,0.428,0.006,0.29,0.271
0,84,98,0.017,0.04,0.319,0.33
0,84,105,4.497,0.302,0.359,0.284
0,84,112,2.58,0.315,0.005,0.338
0,84,119,57.642,0.005,0.347,0.26
0,84,126,5.819,0.313,0.354,0.333
0,84,133,86.25,0.358,0.262,0.297
0,84,140,5.205,0.02,0.388,0.304
0,84,147,65.805,0.398,0.341,0.35
0,84,154,0.875,0.005,0.32,0.311
0,84,161,7.115,0.373,0.307,0.249
0,84,168,7.034,0.432,0.405,0.334
0,84,175,8.657,0.351,0.324,0.314
7,0,0,3.299,0.0,0.0,0.0
7,0,7,0.003,0.0,0.29,0.259
7,0,14,0.0,0.0,0.0,0.279
