Euler1,Euler2,Euler3,azimuth360,azimuth270,azimuth180,azimuth90
0,49,28,0.001,0.015,0.038,0.09
0,49,35,0.084,0.028,0.007,0.011
0,49,42,0.16,0.002,0.081,0.009
0,49,49,0.003,0.004,0.071,0.007
0,49,56,0.043,0.001,0.005,0.006
0,49,63,0.0,0.034,0.044,0.004
0,49,70,0.001,0.211,0.044,0.031
0,49,77,0.002,0.094,0.052,0.0
0,49,84,0.002,0.003,0.045,0.255
0,49,91,0.001,0.094,0.001,0.002
0,49,98,0.009,0.048,0.044,0.002
0,49,105,0.003,0.077,0.122,0.158
0,49,112,0.057,0.001,0.003,0.165
0,49,119,0.001,0.088,0.009,0.135
0,49,126,0.12,0.05,0.095,0.323
0,49,133,0.003,0.078,0.002,0.162
0,49,140,0.077,0.047,0.043,0.153
0,49,147,0.079,0.001,0.0,0.174
0,49,154,0.124,0.002,0.001,0.001
0,49,161,0.002,0.001,0.089,0.002
0,49,168,0.001,0.174,0.032,0.163
0,49,175,0.093,0.002,0.042,0.142
0,56,0,0.001,0.001,0.001,0.271
0,56,7,0.001,0.001,0.004,0.003
0,56,14,0.125,0.016,0.07,0.002
0,56,21,0.001,0.003,0.003,0.004
0,56,28,0.112,0.081,0.001,0.008
0,56,35,0.002,0.002,0.009,0.011
0,56,42,0.128,0.002,0.001,0.022
0,56,49,0.018,0.001,0.005,0.008
0,56,56,0.004,0.002,0.054,0.005
0,56,63,0.03,0.001,0.001,0.001
0,56,70,0.001,0.029,0.001,0.034
0,56,77,0.001,0.002,0.101,0.061
0,56,84,0.001,0.001,0.001,0.0
0,56,91,0.002,0.012,0.049,0.189
0,56,98,0.002,0.003,0.062,0.002
0,56,105,0.071,0.089,0.001,0.001
0,56,112,0.002,0.149,0.002,0.003
0,56,119,0.002,0.002,0.001,0.001
0,56,126,0.002,0.001,0.003,0.001
0,56,133,0.001,0.001,0.019,0.306
0,56,140,0.065,0.001,0.065,0.281
0,56,147,0.023,0.127,0.016,0.001
0,56,154,0.001,0.001,0.001,0.001
0,56,161,0.06,0.135,0.06,0.032
0,56,168,0.001,0.097,0.001,0.066
0,56,175,0.004,0.001,0.002,0.223
0,63,0,0.001,0.001,0.001,0.001
0,63,7,0.031,0.002,0.043,0.289
0,63,14,0.192,0.002,0.188,0.017
0,63,21,0.001,0.002,0.171,0.0
0,63,28,0.17,0.002,0.001,0.005
0,63,35,0.005,0.004,0.001,0.006
0,63,42,0.001,0.002,0.001,0.005
0,63,49,0.008,0.159,0.004,0.001
0,63,56,0.11,0.001,0.001,0.236
0,63,63,0.002,0.21,0.003,0.176
0,63,70,0.002,0.016,0.037,0.184
0,63,77,0.001,0.001,0.001,0.001
0,63,84,0.001,0.119,0.049,0.301
0,63,91,0.001,0.052,0.001,0.001
0,63,98,0.001,0.065,0.048,0.001
0,63,105,0.001,0.001,0.002,0.001
0,63,112,0.084,0.201,0.001,0.197
0,63,119,0.0,0.001,0.001,0.053
0,63,126,0.139,0.014,0.002,0.001
0,63,133,0.001,0.002,0.001,0.333
0,63,140,0.001,0.002,0.002,0.001
0,63,147,0.001,0.09,0.101,0.001
0,63,154,0.002,0.002,0.139,0.001
0,63,161,0.173,0.002,0.001,0.023
0,63,168,0.002,0.002,0.002,0.001
0,63,175,0.001,0.001,0.093,0.001
0,70,0,0.001,0.001,0.0,0.269
0,70,7,0.001,0.178,0.286,0.335
0,70,14,0.178,0.274,0.001,0.002
0,70,21,0.211,0.268,0.024,0.002
0,70,28,0.172,0.001,0.001,0.241
0,70,35,0.148,0.002,0.001,0.284
0,70,42,0.174,0.154,0.001,0.256
0,70,49,0.104,0.0,0.001,0.001
0,70,56,0.002,0.241,0.001,0.214
0,70,63,0.001,0.002,0.203,0.203
0,70,70,0.001,0.205,0.001,0.017
0,70,77,0.001,0.277,0.252,0.003
0,70,84,0.001,0.029,0.001,0.029
0,70,91,0.178,0.167,0.17,0.302
0,70,98,0.031,0.002,0.001,0.12
0,70,105,0.0,0.002,0.162,0.001
0,70,112,0.001,0.001,0.274,0.001
0,70,119,0.001,0.19,0.092,0.33
0,70,126,0.001,0.058,0.038,0.002
0,70,133,0.007,0.243,0.0,0.348
0,70,140,0.001,0.001,0.096,0.338
0,70,147,0.013,0.001,0.003,0.0
0,70,154,0.196,0.183,0.124,0.002
0,70,161,0.158,0.002,0.093,0.037
0,70,168,0.001,0.233,0.0,0.001
0,70,175,0.288,0.035,0.003,0.001
0,77,0,0.146,0.001,0.251,0.322
0,77,7,0.238,0.263,0.423,0.331
0,77,14,0.313,0.171,0.289,0.329
0,77,21,0.278,0.276,0.355,0.259
0,77,28,0.312,0.273,0.335,0.258
0,77,35,0.3,0.307,0.248,0.005
0,77,42,0.264,0.179,0.288,0.34
0,77,49,0.297,0.312,0.312,0.005
0,77,56,0.298,0.338,0.29,0.301
0,77,63,0.286,0.289,0.222,0.187
0,77,70,0.284,0.331,0.274,0.33
0,77,77,0.284,0.245,0.253,0.305
0,77,84,0.279,0.215,0.23,0.327
0,77,91,0.251,0.256,0.25,0.005
0,77,98,0.243,0.29,0.291,0.364
0,77,105,0.275,0.298,0.239,0.229
0,77,112,0.27,0.195,0.273,0.214
0,77,119,0.32,0.287,0.253,0.391
0,77,126,0.25,0.245,0.29,0.002
0,77,133,0.297,0.248,0.277,0.001
0,77,140,0.254,0.301,0.28,0.358
0,77,147,0.283,0.292,0.308,0.002
0,77,154,0.239,0.262,0.288,0.004
0,77,161,0.303,0.274,0.3,0.002
0,77,168,0.27,0.297,0.295,0.002
0,77,175,0.321,0.262,0.256,0.006
0,84,0,0.007,0.309,0.0,0.297
0,84,7,0.334,0.304,0.329,0.355
0,84,14,0.255,0.314,0.342,0.293
0,84,21,0.26,0.31,0.2,0.205
0,84,28,0.305,0.314,0.557,0.38
0,84,35,0.264,0.242,0.355,0.174
0,84,42,0.34,0.319,0.3,0.015
0,84,49,0.287,0.321,0.277,0.302
0,84,56,0.266,0.318,0.364,0.344
0,84,63,0.313,0.316,0.328,0.305
0,84,70,0.234,0.319,0.283,0.297
0,84,77,0.337,0.156,0.319,0.341
0,84,84,0.333,0.359,0.275,0.197
0,84,91,0.256,0.3,0.258,0.031
0,84,98,0.328,0.314,0.36,0.026
0,84,105,0.306,0.01,0.367,0.015
0,84,112,0.285,0.321,0.29,0.356
0,84,119,0.248,0.318,0.309,0.352
0,84,126,0.301,0.285,0.009,0.36
0,84,133,0.243,0.303,0.03,0.005
0,84,140,0.353,0.339,0.345,0.455
0,84,147,0.323,0.385,0.305,0.377
0,84,154,0.324,0.337,0.317,0.017
0,84,161,0.333,0.376,0.341,0.349
0,84,168,0.34,0.311,0.308,0.157
0,84,175,0.311,0.31,0.011,0.023
7,0,0,0.0,0.0,0.0,0.401
7,0,7,0.0,0.214,0.0,0.0
7,0,14,0.0,0.0,0.0,0.326
7,0,21,0.0,0.0,0.0,0.157
7,0,28,0.0,0.0,0.0,0.0
7,0,35,0.0,0.0,0.261,0.642
7,0,42,0.259,0.0,0.0,0.0
7,0,49,0.0,0.177,0.25,0.163
7,0,56,0.0,0.0,0.194,0.0
7,0,63,0.0,0.31,0.0,0.169
7,0,70,0.0,0.0,0.0,0.27
7,0,77,0.271,0.0,0.0,0.285
7,0,84,0.218,0.0,0.0,0.0
7,0,91,0.0,0.235,0.0,0.285
7,0,98,0.268,0.0,0.0,0.0
7,0,105,0.0,0.262,0.0,0.219
7,0,112,0.0,0.0,0.0,0.0
7,0,119,0.288,0.0,0.0,0.508
7,0,126,0.213,0.0,0.0,0.413
7,0,133,0.0,0.0,0.308,0.212
7,0,140,0.234,0.0,0.0,0.352
7,0,147,0.0,0.274,0.38,0.0
7,0,154,0.0,0.0,0.231,0.267
7,0,161,0.0,0.0,0.0,0.327
7,0,168,0.0,0.17,0.28,0.0
7,0,175,0.0,0.0,0.0,0.315
7,7,0,0.004,0.006,0.022,0.002
7,7,7,0.138,0.063,0.07,0.136
7,7,14,0.119,0.264,0.852,0.047
7,7,21,0.149,0.044,0.019,0.004
7,7,28,0.111,0.008,0.048,0.093
7,7,35,0.025,0.002,0.068,0.118
7,7,42,0.114,0.008,0.14,0.02
7,7,49,0.002,0.287,0.006,0.045
7,7,56,0.852,0.011,0.035,0.635
7,7,63,0.002,0.08,0.005,0.094
7,7,70,0.016,0.005,0.006,0.711
7,7,77,0.151,0.797,0.007,0.033
7,7,84,0.022,0.852,0.008,0.411
7,7,91,0.015,0.016,0.036,0.852
7,7,98,0.105,0.004,0.002,0.063
7,7,105,0.042,0.004,0.042,0.002
7,7,112,0.01,0.002,0.015,0.091
7,7,119,0.845,0.002,0.015,0.093
7,7,126,0.852,0.001,0.058,0.077
7,7,133,0.004,0.006,0.007,0.034
7,7,140,0.003,0.002,0.004,0.007
7,7,147,1.68,0.82,0.048,0.017
7,7,154,0.067,0.004,0.003,0.62
7,7,161,0.036,0.009,0.069,0.036
7,7,168,0.04,0.009,0.033,0.076
7,7,175,0.006,0.021,0.011,0.006
7,14,0,0.026,0.001,0.001,0.001
7,14,7,0.202,0.007,0.005,1.257
7,14,14,0.007,0.014,0.144,0.47
7,14,21,0.049,0.004,0.01,0.016
7,14,28,0.009,0.005,0.003,0.004
7,14,35,0.002,0.007,0.001,0.004
