Euler1,Euler2,Euler3,6samples,10samples,12samples,14samples,18samples
0,42,154,0.785,0.001,0.156,0.059,0.039
0,42,161,0.41,0.129,0.0,0.004,0.003
0,42,168,0.395,0.003,0.004,0.018,0.001
0,42,175,0.262,0.22,0.11,0.051,0.0
0,49,0,0.001,0.275,0.001,0.001,0.002
0,49,7,0.591,0.004,0.043,0.002,0.081
0,49,14,0.006,0.001,0.051,0.02,0.015
0,49,21,0.277,0.133,0.037,0.01,0.078
0,49,28,0.449,0.002,0.002,0.003,0.054
0,49,35,0.009,0.357,0.001,0.002,0.0
0,49,42,0.433,0.093,0.062,0.091,0.133
0,49,49,0.375,0.169,0.0,0.196,0.0
0,49,56,0.604,0.001,0.001,0.076,0.02
0,49,63,0.128,0.001,0.162,0.004,0.072
0,49,70,0.036,0.001,0.052,0.029,0.067
0,49,77,0.322,0.006,0.001,0.001,0.001
0,49,84,0.002,0.065,0.001,0.04,0.022
0,49,91,0.421,0.001,0.002,0.068,0.0
0,49,98,0.528,0.002,0.002,0.066,0.002
0,49,105,0.296,0.244,0.133,0.15,0.008
0,49,112,0.003,0.003,0.024,0.089,0.024
0,49,119,0.002,0.001,0.138,0.002,0.032
0,49,126,0.005,0.033,0.001,0.002,0.001
0,49,133,0.22,0.002,0.003,0.111,0.021
0,49,140,0.398,0.001,0.003,0.073,0.002
0,49,147,0.299,0.249,0.229,0.001,0.001
0,49,154,0.004,0.096,0.121,0.049,0.001
0,49,161,0.003,0.002,0.074,0.028,0.026
0,49,168,0.001,0.001,0.103,0.054,0.001
0,49,175,0.31,0.004,0.112,0.001,0.0
0,56,0,0.001,0.001,0.002,0.001,0.0
0,56,7,0.328,0.578,0.002,0.277,0.082
0,56,14,0.331,0.002,0.002,0.001,0.075
0,56,21,0.005,0.223,0.003,0.001,0.034
0,56,28,0.085,0.24,0.001,0.001,0.006
0,56,35,0.394,0.001,0.003,0.039,0.041
0,56,42,0.054,0.207,0.124,0.001,0.046
0,56,49,0.097,0.001,0.001,0.003,0.001
0,56,56,0.377,0.059,0.002,0.177,0.124
0,56,63,0.584,0.315,0.003,0.002,0.07
0,56,70,0.056,0.001,0.001,0.011,0.003
0,56,77,0.005,0.032,0.001,0.066,0.006
0,56,84,0.001,0.002,0.001,0.094,0.027
0,56,91,0.002,0.002,0.001,0.001,0.001
0,56,98,0.004,0.003,0.002,0.002,0.005
0,56,105,0.244,0.037,0.195,0.002,0.028
0,56,112,0.002,0.235,0.124,0.001,0.001
0,56,119,0.001,0.024,0.201,0.001,0.001
0,56,126,0.364,0.002,0.089,0.002,0.001
0,56,133,0.289,0.001,0.101,0.005,0.002
0,56,140,0.241,0.182,0.001,0.073,0.002
0,56,147,0.343,0.221,0.041,0.107,0.002
0,56,154,0.004,0.001,0.001,0.045,0.039
0,56,161,0.004,0.215,0.001,0.061,0.059
0,56,168,0.008,0.037,0.001,0.001,0.071
0,56,175,0.14,0.224,0.002,0.001,0.095
0,63,0,0.001,0.002,0.002,0.001,0.001
0,63,7,0.035,0.013,0.227,8.89,0.001
0,63,14,0.428,0.001,0.003,0.096,0.001
0,63,21,0.465,0.0,0.002,0.001,0.055
0,63,28,0.119,0.048,0.21,0.014,0.139
0,63,35,0.445,0.006,0.056,0.001,0.001
0,63,42,0.827,0.021,0.163,0.006,0.003
0,63,49,0.002,0.11,0.001,0.012,0.085
0,63,56,0.002,0.003,0.001,0.026,0.001
0,63,63,0.477,0.045,0.005,0.017,0.001
0,63,70,0.265,0.002,0.0,0.001,0.001
0,63,77,0.37,0.314,0.222,0.002,0.0
0,63,84,0.005,0.001,0.113,0.002,0.001
0,63,91,0.0,0.001,0.002,0.091,0.001
0,63,98,0.008,0.12,0.001,0.001,0.002
0,63,105,0.038,0.002,0.002,0.004,0.001
0,63,112,0.01,0.012,0.002,0.002,0.141
0,63,119,0.382,0.003,0.215,0.131,0.001
0,63,126,0.032,0.002,0.001,0.004,0.0
0,63,133,0.533,0.001,0.005,0.176,0.002
0,63,140,0.001,0.003,0.001,0.14,0.002
0,63,147,0.015,0.001,0.026,0.002,0.002
0,63,154,0.0,0.003,0.288,0.222,0.002
0,63,161,0.488,0.355,0.002,0.002,0.002
0,63,168,0.219,0.234,0.004,0.001,0.001
0,63,175,0.003,0.001,0.001,0.016,0.0
0,70,0,0.0,0.001,0.002,0.001,0.113
0,70,7,0.566,0.94,0.237,0.092,0.236
0,70,14,0.04,0.355,0.22,0.002,0.002
0,70,21,0.077,0.561,0.013,0.233,0.001
0,70,28,0.138,0.003,0.001,0.2,0.22
0,70,35,0.047,0.001,0.001,0.219,0.175
0,70,42,0.001,0.0,0.109,0.233,0.0
0,70,49,0.345,0.063,0.002,0.021,0.219
0,70,56,0.003,0.162,0.002,0.001,0.234
0,70,63,0.279,0.001,0.001,0.001,0.001
0,70,70,0.009,0.087,0.224,0.097,0.001
0,70,77,0.004,0.184,0.23,0.011,0.168
0,70,84,0.155,0.054,0.0,0.001,0.167
0,70,91,0.012,0.109,0.172,0.001,0.233
0,70,98,0.319,0.003,0.001,0.001,0.051
0,70,105,0.01,0.357,0.207,0.001,0.0
0,70,112,0.292,0.002,0.001,0.002,0.222
0,70,119,0.002,0.004,0.285,0.036,0.001
0,70,126,0.442,0.079,0.002,0.002,0.156
0,70,133,0.7,0.323,0.014,0.16,0.216
0,70,140,0.003,0.293,0.0,0.001,0.002
0,70,147,0.006,0.192,0.002,0.001,0.218
0,70,154,0.004,0.017,0.001,0.413,0.2
0,70,161,0.4,0.0,0.265,0.001,0.023
0,70,168,0.583,0.001,0.003,0.142,0.147
0,70,175,0.552,0.374,0.001,0.253,0.059
0,77,0,0.573,0.001,0.0,0.238,0.001
0,77,7,0.566,0.001,0.313,0.336,0.318
0,77,14,1.058,0.355,0.048,0.264,0.241
0,77,21,1.092,0.256,0.204,0.247,0.256
0,77,28,0.228,0.003,0.2,0.363,0.231
0,77,35,0.204,0.001,0.349,0.192,0.265
0,77,42,0.443,0.012,0.321,0.001,0.286
0,77,49,0.417,0.328,0.224,0.328,0.28
0,77,56,0.323,0.285,0.311,0.339,0.318
0,77,63,0.506,0.004,0.001,0.23,0.229
0,77,70,0.005,0.297,0.312,0.277,0.27
0,77,77,0.003,0.187,0.242,0.001,0.223
0,77,84,0.002,0.001,0.25,0.281,0.295
0,77,91,0.007,0.211,0.31,0.245,0.203
0,77,98,0.005,0.21,0.002,0.291,0.251
0,77,105,0.007,0.2,0.354,0.004,0.303
0,77,112,0.586,0.239,0.325,0.263,0.242
0,77,119,0.158,0.005,0.276,0.319,0.297
0,77,126,0.454,0.258,0.29,0.334,0.278
0,77,133,0.003,0.196,0.002,0.326,0.249
0,77,140,0.001,0.004,0.001,0.282,0.224
0,77,147,0.029,0.233,0.002,0.297,0.232
0,77,154,0.003,0.001,0.303,0.259,0.247
0,77,161,0.006,0.0,0.299,0.318,0.281
0,77,168,0.421,0.284,0.325,0.192,0.267
0,77,175,0.255,0.308,0.294,0.002,0.276
0,84,0,0.313,0.338,0.017,0.381,0.335
0,84,7,0.109,0.69,0.166,0.343,0.306
0,84,14,0.998,0.009,0.324,0.011,0.0
0,84,21,2.057,0.32,0.385,0.31,0.0
0,84,28,0.0,0.011,0.002,0.264,0.065
0,84,35,0.004,0.271,0.315,0.22,0.352
0,84,42,0.033,0.005,0.379,0.296,0.395
0,84,49,0.607,0.274,0.342,0.26,0.333
0,84,56,0.406,0.227,0.279,0.251,0.357
0,84,63,1.012,0.41,0.37,0.237,0.269
0,84,70,0.35,0.007,0.003,0.372,0.29
0,84,77,0.155,0.341,0.316,0.179,0.117
0,84,84,0.397,0.279,0.251,0.251,0.345
0,84,91,0.015,0.01,0.029,0.284,0.003
0,84,98,0.053,0.311,0.375,0.327,0.318
0,84,105,0.031,0.143,0.275,0.423,0.311
0,84,112,0.025,0.329,0.319,0.222,0.323
0,84,119,0.051,0.366,0.266,0.353,0.294
0,84,126,0.009,0.014,0.395,0.355,0.318
0,84,133,0.022,0.231,0.006,0.242,0.333
0,84,140,0.005,0.427,0.328,0.305,0.001
0,84,147,0.182,0.191,0.008,0.263,0.366
0,84,154,0.08,0.352,0.357,0.273,0.284
0,84,161,0.003,0.311,0.001,0.292,0.294
0,84,168,0.66,0.006,0.129,0.334,0.335
0,84,175,0.423,0.016,0.304,0.36,0.325
7,0,0,0.0,0.0,0.0,0.23,0.239
7,0,7,0.0,0.0,0.023,0.0,0.246
7,0,14,0.0,0.382,0.0,0.268,0.251
7,0,21,0.0,0.0,0.0,0.258,0.252
7,0,28,0.0,0.0,0.0,0.0,0.0
7,0,35,0.0,0.0,0.0,0.094,0.0
7,0,42,0.0,0.0,0.0,0.0,0.235
7,0,49,0.0,0.0,0.0,0.0,0.276
7,0,56,0.001,0.0,0.0,0.0,0.281
7,0,63,0.0,0.0,0.225,0.0,0.0
7,0,70,0.001,0.0,0.0,0.0,0.25
7,0,77,0.001,0.0,0.0,0.0,0.0
7,0,84,0.0,0.363,0.0,0.0,0.0
7,0,91,0.0,0.0,0.247,0.0,0.223
7,0,98,0.483,0.262,0.0,0.0,0.258
7,0,105,0.0,0.275,0.0,0.0,0.341
7,0,112,0.0,0.0,0.273,0.0,0.0
7,0,119,0.0,0.0,0.326,0.317,0.281
7,0,126,0.237,0.0,0.0,0.267,0.0
7,0,133,0.0,0.339,0.262,0.0,0.0
7,0,140,0.001,0.0,0.0,0.314,0.267
7,0,147,0.0,0.0,0.26,0.0,0.24
7,0,154,0.409,0.0,0.0,0.0,0.0
7,0,161,0.432,0.0,0.266,0.0,0.0
7,0,168,0.823,0.0,0.353,0.0,0.0
7,0,175,0.0,0.374,0.0,0.0,0.0
7,7,0,0.257,0.003,0.002,0.001,0.002
7,7,7,0.852,0.921,0.402,0.573,0.043
7,7,14,0.602,0.06,0.332,0.04,0.158
7,7,21,0.376,0.575,0.014,0.138,0.097
7,7,28,0.118,0.437,0.166,0.055,0.043
7,7,35,0.33,0.054,0.148,0.004,0.005
7,7,42,0.05,0.225,0.003,0.257,0.015
7,7,49,0.157,0.239,0.128,0.124,0.007
7,7,56,0.239,0.025,0.188,0.062,0.045
7,7,63,0.845,0.012,0.019,0.119,0.002
7,7,70,0.111,0.243,0.004,0.007,0.362
7,7,77,0.843,0.013,0.211,0.005,0.009
7,7,84,0.184,0.137,0.136,0.003,0.003
7,7,91,0.072,0.269,0.01,0.851,0.097
7,7,98,0.65,0.115,0.071,0.763,0.007
7,7,105,0.171,0.044,0.865,0.2,0.005
7,7,112,0.816,0.016,0.027,0.852,0.005
7,7,119,0.658,0.312,0.076,0.957,0.014
7,7,126,0.143,0.383,0.808,0.003,0.036
7,7,133,1.962,0.851,0.024,0.014,0.013
7,7,140,0.758,0.203,0.019,0.159,0.003
7,7,147,0.3,0.171,0.02,0.637,0.007
7,7,154,0.517,0.816,0.013,0.018,0.059
7,7,161,0.851,0.181,0.852,0.002,0.015
7,7,168,0.31,0.175,0.428,0.003,0.028
7,7,175,0.066,0.611,0.611,0.115,0.001
7,14,0,0.032,0.071,0.01,0.006,0.0
7,14,7,1.269,1.619,0.095,0.087,0.048
7,14,14,0.126,0.11,0.001,0.042,0.006
7,14,21,0.154,0.528,0.007,0.003,0.004
7,14,28,0.096,0.017,0.015,0.002,0.001
7,14,35,0.044,0.017,0.1,0.023,0.014
7,14,42,0.067,0.011,0.08,0.011,0.001
7,14,49,0.243,0.06,0.013,0.016,0.003
7,14,56,0.073,0.042,0.033,0.001,0.013
7,14,63,0.024,0.084,0.015,0.002,0.001
7,14,70,0.01,0.008,0.066,0.002,0.012
7,14,77,0.083,0.073,0.027,0.025,0.001
7,14,84,0.329,0.102,0.017,0.014,0.02
7,14,91,0.042,0.022,0.003,0.03,0.001
7,14,98,0.008,0.005,0.023,0.005,0.002
7,14,105,0.11,0.003,0.005,0.001,0.05
7,14,112,0.683,0.003,0.004,0.046,0.002
7,14,119,0.661,0.059,0.003,0.006,0.002
7,14,126,0.103,0.026,0.075,0.008,0.047
7,14,133,0.043,0.034,0.023,0.01,0.011
7,14,140,0.032,0.015,0.012,0.002,0.001
7,14,147,0.178,0.001,0.007,0.012,0.035
7,14,154,0.023,0.074,0.014,0.021,0.002
7,14,161,0.269,0.015,0.056,0.003,0.002
7,14,168,0.053,1.548,0.002,0.01,0.006
7,14,175,0.004,0.01,0.016,0.005,0.008
7,21,0,0.005,0.001,0.0,0.001,0.001
7,21,7,2.526,1.295,0.538,0.047,0.001
7,21,14,0.024,0.052,0.052,0.031,0.001
7,21,21,0.025,0.425,0.006,0.021,0.004
7,21,28,0.097,0.031,0.066,0.046,0.038
7,21,35,0.024,0.011,0.024,0.005,0.002
7,21,42,0.014,0.019,0.049,0.002,0.007
7,21,49,0.011,0.001,0.015,0.015,0.003
7,21,56,0.006,0.065,0.007,0.029,0.002
7,21,63,0.158,0.006,0.041,0.001,0.002
7,21,70,0.072,0.0,0.064,0.004,0.046
7,21,77,0.006,0.018,0.004,0.029,0.005
7,21,84,0.09,0.057,0.006,0.026,0.018
7,21,91,0.046,0.042,0.044,0.006,0.008
7,21,98,0.066,0.01,0.069,0.002,0.006
7,21,105,0.014,0.007,0.002,0.002,0.001
7,21,112,0.04,0.075,0.021,0.008,0.04
7,21,119,0.011,0.029,0.005,0.009,0.006
7,21,126,0.082,0.062,0.062,0.01,0.01
7,21,133,0.133,0.004,0.038,0.035,0.006
7,21,140,0.058,0.053,0.057,0.036,0.056
7,21,147,0.075,0.046,0.019,0.001,0.013
7,21,154,0.007,0.019,0.002,0.036,0.001
7,21,161,0.04,0.003,0.009,0.023,0.012
7,21,168,0.025,0.001,0.003,0.001,0.039
7,21,175,0.01,0.011,0.001,0.001,0.001
7,28,0,0.008,0.016,0.001,0.001,0.0
7,28,7,0.472,0.015,0.03,0.681,0.008
7,28,14,0.048,0.047,0.056,0.062,0.025
7,28,21,0.047,0.014,0.001,0.006,0.001
7,28,28,0.46,0.007,0.002,0.027,0.001
7,28,35,0.035,0.022,0.035,0.017,0.007
7,28,42,0.042,0.048,0.001,0.012,0.002
7,28,49,0.009,0.056,0.004,0.009,0.019
7,28,56,0.005,0.009,0.003,0.023,0.008
7,28,63,0.037,0.004,0.025,0.012,0.02
7,28,70,0.029,0.005,0.031,0.001,0.027
7,28,77,0.031,0.016,0.006,0.034,0.021
7,28,84,0.042,0.008,0.002,0.028,0.023
7,28,91,0.082,0.028,0.023,0.003,0.025
7,28,98,0.019,0.001,0.005,0.029,0.008
7,28,105,0.019,0.009,0.032,0.045,0.02
7,28,112,0.012,0.023,0.004,0.026,0.001
7,28,119,0.022,0.044,0.018,0.002,0.002
7,28,126,0.01,0.012,0.021,0.016,0.01
7,28,133,0.061,0.039,0.032,0.045,0.048
7,28,140,0.024,0.002,0.001,0.017,0.001
7,28,147,0.074,0.052,0.017,0.015,0.033
7,28,154,0.046,0.038,0.041,0.038,0.005
7,28,161,0.042,0.035,0.045,0.047,0.025
7,28,168,0.009,0.007,0.011,0.012,0.001
7,28,175,0.026,0.005,0.001,0.015,0.004
7,35,0,0.004,0.006,0.034,0.005,0.001
7,35,7,0.033,0.038,0.021,0.012,0.027
7,35,14,0.031,0.033,0.012,0.005,0.001
7,35,21,0.066,0.02,0.016,0.011,0.025
7,35,28,0.025,0.014,0.01,0.029,0.003
7,35,35,0.024,0.015,0.026,0.022,0.001
7,35,42,0.005,0.033,0.015,0.019,0.016
7,35,49,0.022,0.009,0.006,0.013,0.001
7,35,56,0.001,0.004,0.008,0.027,0.002
7,35,63,0.035,0.003,0.022,0.024,0.014
7,35,70,0.01,0.006,0.006,0.001,0.027
7,35,77,0.031,0.019,0.003,0.031,0.011
7,35,84,0.016,0.032,0.001,0.028,0.009
7,35,91,0.042,0.008,0.024,0.001,0.027
7,35,98,0.03,0.002,0.032,0.001,0.02
7,35,105,0.004,0.006,0.001,0.027,0.017
7,35,112,0.016,0.018,0.001,0.018,0.002
7,35,119,0.013,0.029,0.016,0.001,0.009
7,35,126,0.032,0.015,0.017,0.021,0.003
7,35,133,0.05,0.045,0.008,0.023,0.003
7,35,140,0.007,0.01,0.002,0.003,0.001
7,35,147,0.009,0.022,0.011,0.002,0.012
7,35,154,0.006,0.024,0.012,0.03,0.001
7,35,161,0.016,0.011,0.01,0.032,0.022
7,35,168,0.014,0.001,0.006,0.026,0.016
7,35,175,0.016,0.002,0.012,0.002,0.014
7,42,0,0.015,0.013,0.003,0.023,0.013
7,42,7,0.049,0.035,0.029,0.023,0.014
7,42,14,0.1,0.01,0.003,0.001,0.004
7,42,21,0.02,0.007,0.007,0.013,0.015
7,42,28,0.016,0.001,0.014,0.009,0.019
7,42,35,0.009,0.024,0.02,0.015,0.013
7,42,42,0.015,0.021,0.008,0.012,0.013
7,42,49,0.012,0.015,0.018,0.009,0.004
7,42,56,0.015,0.012,0.005,0.036,0.004
7,42,63,0.026,0.006,0.021,0.006,0.016
7,42,70,0.03,0.013,0.006,0.002,0.001
7,42,77,0.037,0.027,0.001,0.005,0.009
7,42,84,0.026,0.013,0.002,0.016,0.005
7,42,91,0.016,0.006,0.009,0.004,0.002
7,42,98,0.007,0.002,0.01,0.004,0.012
7,42,105,0.004,0.011,0.01,0.013,0.018
7,42,112,0.015,0.027,0.016,0.015,0.018
7,42,119,0.019,0.011,0.014,0.004,0.014
7,42,126,0.027,0.003,0.014,0.012,0.014
7,42,133,0.026,0.005,0.008,0.011,0.015
7,42,140,0.04,0.018,0.01,0.02,0.012
7,42,147,0.005,0.017,0.008,0.011,0.002
7,42,154,0.011,0.02,0.021,0.016,0.018
7,42,161,0.004,0.003,0.013,0.004,0.015
7,42,168,0.022,0.003,0.001,0.012,0.019
7,42,175,0.005,0.005,0.013,0.009,0.015
7,49,0,0.003,0.018,0.004,0.002,0.008
