Euler1,Euler2,Euler3,default10,default15,default20,default25,default30
0,49,0,0.0,0.0,0.0,0.0,0.0
0,49,7,0.002,0.032,0.044,0.048,0.001
0,49,14,0.026,0.001,0.131,0.035,0.001
0,49,21,1.257,0.047,0.069,0.001,0.056
0,49,28,0.029,0.036,0.099,0.041,0.004
0,49,35,0.128,0.094,0.001,0.073,0.042
0,49,42,0.168,0.002,0.001,0.156,0.156
0,49,49,0.003,0.003,0.03,0.079,0.016
0,49,56,0.095,0.037,0.016,0.002,0.001
0,49,63,0.0,0.03,0.0,0.001,0.0
0,49,70,0.001,0.131,0.001,0.001,0.187
0,49,77,0.08,0.017,0.016,0.002,0.004
0,49,84,0.023,0.049,0.002,0.002,0.002
0,49,91,0.076,0.059,0.001,0.0,0.001
0,49,98,0.02,0.001,0.005,0.021,0.02
0,49,105,0.031,0.036,0.055,0.002,0.002
0,49,112,0.105,0.073,0.001,0.068,0.082
0,49,119,0.02,0.033,0.005,0.001,0.009
0,49,126,0.021,0.036,0.046,0.021,0.001
0,49,133,0.186,0.024,0.002,0.002,0.003
0,49,140,0.118,0.075,0.001,0.001,0.05
0,49,147,0.035,0.001,0.031,0.024,0.028
0,49,154,0.009,0.001,0.154,0.002,0.001
0,49,161,0.179,0.134,0.002,0.001,0.001
0,49,168,0.157,0.04,0.028,0.032,0.001
0,49,175,0.037,0.02,0.095,0.121,0.001
0,56,0,0.001,0.001,0.001,0.001,0.001
0,56,7,0.069,0.036,0.067,0.043,0.084
0,56,14,0.002,0.001,0.065,0.009,0.03
0,56,21,0.001,0.151,0.179,0.017,0.066
0,56,28,0.194,0.001,0.111,0.001,0.092
0,56,35,0.069,0.079,0.013,0.052,0.067
0,56,42,0.147,0.139,0.005,0.0,0.0
0,56,49,0.001,0.001,0.059,0.07,0.053
0,56,56,0.002,0.002,0.016,0.003,0.004
0,56,63,0.001,0.001,0.1,0.118,0.011
0,56,70,0.002,0.065,0.049,0.073,0.021
0,56,77,0.1,0.035,0.003,0.047,0.002
